Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
VIRC,Virco Mfg. Corporation,15.8,13.2,83.4
VABK,Virginia National Bankshares Corporation,5.4,4.7,85.8
VRDN,"Viridian Therapeutics, Inc.",103.1,94.3,91.5
VRTS,"Virtus Investment Partners, Inc.",6.7,6.3,93.7
VSH,"Vishay Intertechnology, Inc.",136.1,122.8,90.2
VPG,"Vishay Precision Group, Inc.",13.3,11.8,88.9
VISN,"Vistance Networks, Inc.",225.6,217.4,96.3
VC,Visteon Corporation,26.7,26.2,98.4
COCO,"Vita Coco Company, Inc.",57.1,48.9,85.3
VITL,"Vital Farms, Inc.",42.8,35.1,77.8
VTS,"Vitesse Energy, Inc.",41.7,30.6,72.3
SEAT,Vivid Seats Inc. Class A,11.0,3.8,35.2
*VOXR,Vox Royalty Corp,68.9,60.3,#N/A
VOYG,"Voyager Technologies, Inc. Class A",59.3,50.9,85.9
VYGR,"Voyager Therapeutics, Inc.",60.4,50.3,82.4
VRM,"Vroom, Inc.",1.8,1.8,97.8
VSEC,VSE Corporation,28.1,26.5,93.7
VTEX,VTEX Class A,170.5,63.0,38.6
VUZI,Vuzix Corporation,83.2,70.4,84.0
WTI,"W&T Offshore, Inc.",148.8,98.3,66.1
WNC,Wabash National Corporation,40.7,38.6,95.2
WAFD,"WaFd, Inc.",73.9,72.7,98.5
WALD,Waldencast plc Class A,118.2,47.1,30.7
WD,"Walker & Dunlop, Inc.",34.3,32.9,96.3
WRBY,"Warby Parker, Inc. Class A",122.5,100.5,81.7
HCC,"Warrior Met Coal, Inc.",52.8,51.7,97.9
WASH,"Washington Trust Bancorp, Inc.",19.1,18.6,98.2
WSBF,"Waterstone Financial, Inc.",18.1,14.9,81.7
WTS,"Watts Water Technologies, Inc. Class A",33.4,27.1,81.1
WVE,Wave Life Sciences Ltd.,192.4,157.9,83.9
WAY,Waystar Holding Corp.,191.8,136.2,71.3
WDFC,WD-40 Company,13.5,13.4,99.7
WLTH,Wealthfront Corporation,149.6,84.9,57.1
WEAV,"Weave Communications, Inc.",79.6,66.8,86.3
WBTN,WEBTOON Entertainment Inc.,135.2,20.6,13.7
BULL,Webull Corporation,531.8,283.6,52.2
WMK,"Weis Markets, Inc.",24.7,12.2,54.7
WERN,"Werner Enterprises, Inc.",60.0,59.0,98.0
WSBC,"WesBanco, Inc.",96.2,94.0,97.9
WTBA,"West Bancorporation, Inc.",17.0,15.0,87.7
WABC,Westamerica Bancorporation,23.5,22.3,95.0
WNEB,"Western New England Bancorp, Inc.",20.1,17.6,87.3
WEST,Westrock Coffee Company,97.6,47.8,49.2
WHG,"Westwood Holdings Group, Inc.",9.5,7.2,79.0
WEYS,"Weyco Group, Inc.",9.5,6.2,60.0
WYFI,"WhiteFiber, Inc.",38.4,9.5,25.0
WSR,Whitestone REIT,51.4,43.6,86.6
WLDN,"Willdan Group, Inc.",15.1,14.6,96.8
WLFC,Willis Lease Finance Corporation,7.0,3.0,36.4
WINA,Winmark Corporation,3.6,3.0,83.1
WGO,"Winnebago Industries, Inc.",28.3,27.1,96.1
WT,"WisdomTree, Inc.",152.9,131.9,86.6
WWW,"Wolverine World Wide, Inc.",82.0,80.3,98.2
WK,Workiva Inc. Class A,56.1,49.7,89.0
WRLD,World Acceptance Corporation,4.9,4.0,80.9
WKC,World Kinect Corporation,51.4,49.2,96.0
WOR,"Worthington Enterprises, Inc.",49.3,30.7,63.1
WS,"Worthington Steel, Inc.",50.8,32.5,64.1
WSFS,WSFS Financial Corporation,52.0,51.5,99.0
SAFX,"XCF Global, Inc. Class A",232.7,28.3,29.4
XNCR,"Xencor, Inc.",74.1,69.6,93.9
XHR,"Xenia Hotels & Resorts, Inc.",92.2,91.4,98.9
XENE,Xenon Pharmaceuticals Inc.,96.7,93.9,96.5
XERS,"Xeris Biopharma Holdings, Inc.",172.6,160.8,93.6
XRX,Xerox Holdings Corporation,130.8,118.9,92.6
XOMA,XOMA Royalty Corporation,12.5,12.0,98.1
XMTR,"Xometry, Inc. Class A",51.8,43.3,84.2
XPEL,"XPEL, Inc.",27.6,25.0,90.6
XPER,Xperi Inc,48.3,43.4,92.0
XPOF,"Xponential Fitness, Inc. Class A",37.3,28.3,76.7
YELP,Yelp Inc.,55.0,52.7,97.0
YEXT,"Yext, Inc.",123.3,107.8,83.4
YSS,"York Space Systems, Inc.",127.6,83.6,#N/A
YORW,York Water Company,16.2,16.0,98.8
ZBIO,"Zenas BioPharma, Inc.",57.4,25.9,41.9
ZETA,Zeta Global Holdings Corp. Class A,249.3,217.9,87.3
ZVIA,Zevia PBC Class A,71.8,66.7,80.8
ZVRA,"Zevra Therapeutics, Inc.",59.1,58.3,99.0
ZD,"Ziff Davis, Inc.",36.8,33.0,94.1
ZIP,"ZipRecruiter, Inc. Class A",84.4,62.9,74.6
ZUMZ,Zumiez Inc.,17.3,13.3,77.6
ZWS,Zurn Elkay Water Solutions Corporation,166.9,147.5,88.5
ZYME,Zymeworks Inc.,73.6,69.3,94.7
