Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
CIM,Chimera Investment Corporation,83.6,81.2,97.3
XRN,Chiron Real Estate Inc.,13.2,12.1,91.7
COFS,"ChoiceOne Financial Services, Inc.",15.0,14.0,93.3
CMPR,Cimpress Plc,24.2,20.1,84.3
CNK,"Cinemark Holdings, Inc.",116.8,103.9,89.4
CIFR,Cipher Digital Inc.,409.0,332.8,80.9
CTRN,"Citi Trends, Inc.",8.3,7.5,89.8
CZNC,Citizens & Northern Corporation,17.9,17.0,95.0
CZWI,"Citizens Community Bancorp, Inc.",9.6,8.9,92.4
CZFS,"Citizens Financial Services, Inc.",4.8,4.5,93.5
CIA,"Citizens, Inc. Class A",50.6,44.7,88.8
CHCO,City Holding Company,14.1,13.8,97.6
CIVB,"Civista Bancshares, Inc.",20.8,20.3,97.7
CTEV,Claritev Corporation Class A,17.0,13.9,53.6
CMTG,"Claros Mortgage Trust, Inc.",140.2,112.6,81.0
CLAR,Clarus Corporation,38.4,29.1,75.0
CLNE,Clean Energy Fuels Corp.,220.2,140.0,64.3
CLSK,"Cleanspark, Inc.",256.6,247.1,96.2
YOU,"Clear Secure, Inc. Class A",100.8,92.8,91.2
CLFD,"Clearfield, Inc.",13.6,11.1,82.9
CLPT,"ClearPoint Neuro, Inc.",30.0,26.6,86.5
CWAN,"Clearwater Analytics Holdings, Inc. Class A",297.3,284.4,95.9
CLW,Clearwater Paper Corporation,16.1,15.2,95.1
CLMB,"Climb Global Solutions, Inc.",18.6,16.2,87.7
CLPR,"Clipper Realty, Inc.",16.1,13.2,82.1
CLOV,Clover Health Investments Corp. Class A,524.7,395.7,74.7
CCNE,CNB Financial Corporation,29.6,28.5,96.5
CNO,"CNO Financial Group, Inc.",93.3,90.5,97.0
CNX,CNX Resources Corporation,141.5,136.1,95.4
CCB,Coastal Financial Corporation,15.2,12.9,84.2
COSO,"CoastalSouth Bancshares, Inc.",12.2,9.0,68.4
CDXS,"Codexis, Inc.",90.9,84.2,96.9
CDE,"Coeur Mining, Inc.","1,034.5","1,028.0",98.4
COGT,"Cogent Biosciences, Inc.",170.9,144.3,83.4
CCOI,Cogent Communications Holdings Inc,50.1,46.7,95.0
CNS,"Cohen & Steers, Inc.",51.4,27.7,53.4
CHRS,"Coherus Oncology, Inc.",154.3,126.2,85.1
COHU,"Cohu, Inc.",47.2,45.6,97.3
COLL,"Collegium Pharmaceutical, Inc.",32.4,31.9,96.7
CBAN,"Colony Bankcorp, Inc.",21.2,19.9,94.1
CLBK,"Columbia Financial, Inc.",104.0,26.2,25.2
CMCO,Columbus McKinnon Corporation,28.7,27.9,97.7
CMRC,"Commerce.com, Inc.",82.5,72.9,85.1
CBK,"Commercial Bancgroup, Inc.",13.7,8.6,57.6
CMC,Commercial Metals Company,110.9,110.0,99.0
CBU,"Community Financial System, Inc.",52.6,52.0,99.2
CYH,"Community Health Systems, Inc.",140.9,116.6,82.8
CHCT,Community Healthcare Trust Incorporated,28.6,26.9,94.0
CTBI,"Community Trust Bancorp, Inc.",18.2,17.7,97.5
CWBC,Community West Bancshares,27.1,23.5,88.0
CVLT,"Commvault Systems, Inc.",41.3,40.6,98.6
CODI,Compass Diversified Holdings,75.2,66.6,88.2
COMP.EQ,Compass Inc Class A,746.1,675.2,87.3
CMP,"Compass Minerals International, Inc.",42.0,32.2,82.4
CMPX,"Compass Therapeutics, Inc.",180.1,120.9,67.1
CIX,CompX International Inc. Class A,12.3,1.5,12.3
CRK,"Comstock Resources, Inc.",293.7,59.1,20.0
CON,"Concentra Group Holdings Parent, Inc.",128.0,114.3,89.3
BBCP,"Concrete Pumping Holdings, Inc. Class A",50.5,20.3,41.4
