cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
G0698L129,Domestic Common Stock Warrant,Financial Services,Mortgage Finance,6163,Finance Insurance And Real Estate,Loan Brokers,,Banking,
G2758T117,Domestic Common Stock Warrant,Technology,Software - Infrastructure,7373,Services,Services-Computer Integrated Systems Design,,Computers,
68622D114,Domestic Common Stock Warrant,Basic Materials,Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,
73730P108,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,
89421B109,Domestic Common Stock Primary Class,Consumer Cyclical,Specialty Retail,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,
12673P105,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,
90138P118,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
985510106,Domestic Common Stock,Industrials,Trucking,4213,Transportation Communications Electric Gas And Sanitary Service,Trucking (No Local),,Transportation,
66573W107,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
56564V119,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G1117K114,ADR Common Stock Primary Class,Basic Materials,Agricultural Inputs,2870,Manufacturing,Agricultural Chemicals,,Chemicals,
74623V202,Domestic Common Stock Secondary Class,Industrials,Pollution & Treatment Controls,2821,Manufacturing,Plastic Materials Synth Resins & Nonvulcan Elastomers,,Chemicals,
74365N111,Domestic Common Stock Warrant,Healthcare,Biotechnology,7389,Services,Services-Business Services Nec,,Business Services,
G9151L104,ADR Common Stock Primary Class,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,
044103877,Domestic Common Stock Primary Class,Real Estate,REIT - Hotel & Motel,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,
049284102,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,
74940T104,Domestic Common Stock,Communication Services,Internet Content & Information,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,
049287105,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
05601A109,ADR Common Stock Primary Class,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,
05602L104,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
872381108,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,
